paper_id,topic_id
033275ccc2c7c5c38592ae893da0b5923cf90717,computer_science
06424dcd3be195738b653d2ee4358d9974f4cb30,computer_science
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,computer_science
1a85628dd645ea86b7c146613651fdb30bb32c1d,computer_science
1cbbe1a129c0d1f53d8e16ca74238334372507dc,computer_science
27d0ae215acfaa5914fc13cea20626c9470848c2,computer_science
3c78b9d672e5bb2e065bcac54b52aa08b94b7321,computer_science
3c78b9d672e5bb2e065bcac54b52aa08b94b7321,medicine
3ca49899da83e160280c709288973e9caed30fa2,computer_science
514e4e91e0fbddaa85857760d4f206a18228d614,computer_science
59078a26c42e8609244f1c3e01f05af74a3773bf,computer_science
5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,computer_science
6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,computer_science
703d49a335799262e474ed8fe6044cd641a9e00a,computer_science
85b681e08c9db87dc19a5d5d8664e0027a8e8ad9,computer_science
86e9b0585c8b866665de18b2744d69aefff3e16d,computer_science
93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,computer_science
a20e707395132f750fa958ebc0ea629b23b57bfe,computer_science
a20e707395132f750fa958ebc0ea629b23b57bfe,medicine
