edition_id,city_id
applied_sciences_2023,unknown_city
arxiv_org_2023,unknown_city
arxiv_org_2024,unknown_city
arxiv_org_2025,unknown_city
coling_workshops_2024,unknown_city
ed_00641c34,city_fd11d796
ed_00fdd523,city_6e227a20
ed_0258785f,city_8afdbf49
ed_025c885d,city_a2bcaf37
ed_03e126dd,city_12f6e693
ed_045e402a,city_d3c5d604
ed_05bfb9f3,city_669f82ab
ed_0642bc08,city_d3c5d604
ed_0739a75b,city_7ae6b3d4
ed_0916cf05,city_7baa5661
ed_09c0cd11,city_4086c8cd
ed_09eaeb28,city_12f6e693
ed_0aacf235,city_de62887d
ed_0b6eeb01,city_65146dd4
ed_0b984cd3,city_ed39b625
ed_0d0ee819,city_82227bd9
ed_0dd114a8,city_bb4ff9ce
ed_0f2519d7,city_00d88204
ed_0fa7bc2d,city_09a32d03
ed_15772061,city_ed86a02c
ed_15adc055,city_18009983
ed_1626ded3,city_aa10db10
ed_177516fc,city_ed39b625
ed_17eb27b4,city_53f87adc
ed_18986b1f,city_1192ad07
ed_18aab14f,city_6e227a20
ed_18c1c847,city_46df1e63
ed_19b44200,city_bb4ff9ce
ed_19e78f47,city_c6921107
ed_1e483b30,city_84c2e7f4
ed_1e725f7c,city_2f2ab160
ed_21b673b0,city_46df1e63
ed_2258b5d7,city_669f82ab
ed_2274f4d6,city_4086c8cd
ed_22a3e97e,city_fad23713
ed_23994b00,city_bb195526
ed_23dfdc47,city_fc6eb3d9
ed_23fb8cac,city_1192ad07
ed_2542bc71,city_b5aad0e1
ed_254379b6,city_ad112046
ed_25db858e,city_a96bfc8d
ed_2901b9ae,city_e6909297
ed_2a2e063f,city_09a32d03
ed_2b7a9912,city_f8cc102c
ed_2ba4cad2,city_2b84f575
ed_2bb5f40c,city_6dc85196
ed_2c36e56c,city_3998cf61
ed_2c9b4e0b,city_71e0db7a
ed_2e566e80,city_74212616
ed_2e6d0c66,city_c4683bfe
ed_2fd29845,city_7baa5661
ed_3039054e,city_c237e1d5
ed_310e116f,city_1192ad07
ed_3387c232,city_7baa5661
ed_33a9a433,city_5f6b3af6
ed_34d4635a,city_7a007ff9
ed_3531763f,city_46df1e63
ed_35a6ddd9,city_c5b44451
ed_35be28be,city_6f47861d
ed_3648451a,city_c6fb4a2c
ed_36659910,city_9e71dd3c
ed_37ae099f,city_00d88204
ed_37c7facf,city_ab2221ef
ed_384d1b77,city_bb4ff9ce
ed_3a4d4141,city_82227bd9
ed_3a51733e,city_5f6b3af6
ed_3ae56086,city_111ef0de
ed_3c6e6968,city_1bb0e61f
ed_3d668bba,city_7baa5661
ed_3d68602f,city_a2c4157d
ed_3d8a89e1,city_53f87adc
ed_3e079498,city_755d3e34
ed_3e43ae80,city_fd11d796
ed_3eb92c15,city_89a60f54
ed_4005c9e2,city_46df1e63
ed_41152e7c,city_3998cf61
ed_44ba5696,city_4e903dd7
ed_45130ce2,city_6e227a20
ed_45cd187a,city_12f6e693
ed_46c3b197,city_531d7be7
ed_46c48acb,city_46df1e63
ed_48920616,city_6e29dfe8
ed_492d71f2,city_ad112046
ed_4936c0dd,city_d0cc393e
ed_49390233,city_f313e48e
ed_4bec4215,city_38837479
ed_4c160934,city_d0cc393e
ed_4d098b17,city_755d3e34
ed_4e107842,city_89a60f54
ed_51593997,city_dee7a22c
ed_5273388a,city_c86d40c5
ed_559e7a70,city_4e903dd7
ed_56113281,city_c6921107
ed_595ad96e,city_f137df92
ed_5b3e5056,city_ac378ebe
ed_5ba98735,city_289225cf
ed_5ee72efc,city_ba33dee1
ed_5f4386e0,city_1c237815
ed_619bbbd9,city_fc5b49bb
ed_6451ebef,city_c86d40c5
ed_64fc8797,city_fd11d796
ed_654a57f0,city_ac378ebe
ed_65867bd4,city_38837479
ed_65e2d809,city_111ef0de
ed_68e5a1f1,city_74e8cc8a
ed_6c9f71ab,city_4ad6ecd7
ed_6d8729ff,city_9e71dd3c
ed_6e130ed3,city_b92b0b69
ed_6e99a156,city_fc6eb3d9
ed_6ea88398,city_755d3e34
ed_6f174f94,city_12f6e693
ed_6ff83cac,city_111ef0de
ed_70b36e48,city_a96bfc8d
ed_7272be49,city_bd17d256
ed_72b9404b,city_bb4ff9ce
ed_75dd4076,city_0188f5c2
ed_7658b095,city_6f47861d
ed_76e42e03,city_ba33dee1
ed_77606d44,city_dee7a22c
ed_78a3ccd7,city_c4683bfe
ed_7c897d0d,city_f137df92
ed_7d1d8f6e,city_7a007ff9
ed_7d975ce0,city_7baa5661
ed_7e3c2e37,city_16c3357a
ed_7efe50d3,city_fc5b49bb
ed_7fd0deae,city_1c237815
ed_7fe5603d,city_4ad6ecd7
ed_7ff4f606,city_9e71dd3c
ed_80b3e512,city_ceaccf56
ed_81e3b4f1,city_4086c8cd
ed_8249998e,city_0188f5c2
ed_84024c66,city_f313e48e
ed_845e5f2e,city_6f47861d
ed_85d1e810,city_fc6eb3d9
ed_86446b9b,city_6f47861d
ed_87484e40,city_fad23713
ed_88bff71a,city_65146dd4
ed_8902a610,city_4086c8cd
ed_8930030f,city_bd17d256
ed_8cb792c9,city_fc6eb3d9
ed_8d0996a9,city_89a60f54
ed_8e660c47,city_83ebfe93
ed_8ef04930,city_f8cc102c
ed_90da5702,city_fd11d796
ed_939484b9,city_56dc5e6c
ed_9399aa6c,city_71e0db7a
ed_946c9443,city_0b4fe789
ed_94982c9e,city_4ad6ecd7
ed_94a496db,city_6ecfa887
ed_94dc63e7,city_f313e48e
ed_9508f4fa,city_a2c4157d
ed_95d092d1,city_f2d27425
ed_985ebf35,city_7ae6b3d4
ed_9953e280,city_84c2e7f4
ed_995b3e58,city_fd11d796
ed_997cf973,city_f313e48e
ed_9c16a7d8,city_a96bfc8d
ed_9cff3dcf,city_a96bfc8d
ed_9d1c9021,city_09a32d03
ed_9f6b2464,city_aa10db10
ed_9fcc0162,city_111ef0de
ed_a3277b34,city_65146dd4
ed_a43a9fd0,city_111ef0de
ed_a5385edb,city_53f87adc
ed_a59a5a31,city_fc5b49bb
ed_a6e5d49b,city_c86d40c5
ed_a70028ee,city_850df011
ed_a7011649,city_8afdbf49
ed_a8117c53,city_84c2e7f4
ed_a8636c63,city_cb3e8aaf
ed_aa73682f,city_6e227a20
ed_aa73dc59,city_7baa5661
ed_abccc56d,city_cb3e8aaf
ed_abdcdb45,city_111ef0de
ed_aff3dfd6,city_bb4ff9ce
ed_b1bfe3f1,city_aa10db10
ed_b2135871,city_74212616
ed_b2323988,city_56dc5e6c
ed_b271870a,city_0788b85f
ed_b27da449,city_fff2a20c
ed_b45a2e47,city_b37eab0f
ed_b541fbec,city_2b84f575
ed_b5546360,city_38837479
ed_b6c520d5,city_4e903dd7
ed_b72aaa44,city_f43fd688
ed_b8ee5d52,city_ac378ebe
ed_bad8e5c8,city_16c3357a
ed_bbf9353c,city_f8cc102c
ed_bc20ac37,city_ba33dee1
ed_bd59b76a,city_8afdbf49
ed_be5fa9ed,city_9a761647
ed_bf64d864,city_5d2ee399
ed_c0c8cf7f,city_7ae6b3d4
ed_c29e7da1,city_c4683bfe
ed_c2b5bbb1,city_cb3e8aaf
ed_c4022094,city_00d88204
ed_c40f7782,city_46df1e63
ed_c49d6883,city_6f47861d
ed_c51361a5,city_a96bfc8d
ed_c5e96198,city_1997798d
ed_c5fcb949,city_ed39b625
ed_c6641e91,city_dee7a22c
ed_c71bc089,city_7cd86ee0
ed_c7bfcd1f,city_fc6eb3d9
ed_c811b8a4,city_d0cc393e
ed_c825c185,city_111ef0de
ed_ca1d0789,city_fd11d796
ed_ca92fbb6,city_f313e48e
ed_cad6e5ac,city_0788b85f
ed_cc63d347,city_74e8cc8a
ed_ce08f156,city_2f2ab160
ed_ce245fea,city_fff2a20c
ed_ce70cae4,city_f313e48e
ed_cfaae171,city_c6921107
ed_cfbebc9b,city_56dc5e6c
ed_cfdd9836,city_a2bcaf37
ed_cfe9a3b2,city_9e71dd3c
ed_d05e4864,city_772da865
ed_d4490d78,city_7cd86ee0
ed_d59bac58,city_749b5c2f
ed_d5f89473,city_b5aad0e1
ed_d888afef,city_0188f5c2
ed_d9c2110e,city_00d88204
ed_da16a988,city_4086c8cd
ed_daa90233,city_7a007ff9
ed_dcf90560,city_4e903dd7
ed_dd8537fb,city_aa10db10
ed_dde266db,city_16c3357a
ed_e0617b09,city_9e71dd3c
ed_e22ae730,city_ebe4860d
ed_e5970323,city_5f6b3af6
ed_e69420e9,city_c6fb4a2c
ed_e6ab571f,city_9a761647
ed_e904b45f,city_b37eab0f
ed_e9b2ce7f,city_ed39b625
ed_eb901c14,city_f137df92
ed_ee15c495,city_18009983
ed_f12e4f5b,city_a96bfc8d
ed_f171753f,city_0788b85f
ed_f24d38ce,city_c86d40c5
ed_f2d9d661,city_d3c5d604
ed_f3988ad9,city_b92b0b69
ed_f604c66d,city_56dc5e6c
ed_f78e35c2,city_b5aad0e1
ed_f7f8ed71,city_289225cf
ed_f82e39bb,city_83ebfe93
ed_f8e0a053,city_fc6eb3d9
ed_f9272068,city_772da865
ed_fc129b65,city_b37eab0f
ed_fcdb59f1,city_ab2221ef
