author_id,review_id
13150804,rev_paper_242f358904d1_13150804
13150804,rev_paper_30355bbcd802_13150804
13150804,rev_paper_6a840c729807_13150804
13150804,rev_paper_84c6f2b1c808_13150804
13150804,rev_paper_d15a1b64522e_13150804
13150804,rev_paper_d66f871f3c93_13150804
144165788,rev_paper_1b1a5c7d1943_144165788
144165788,rev_paper_25f3d56b4675_144165788
144165788,rev_paper_8578bb7c2b46_144165788
144165788,rev_paper_9b68f2b2e0ed_144165788
144165788,rev_paper_ff4d9dafd3d1_144165788
1690435,rev_paper_1b5c1f4fc8d4_1690435
1690435,rev_paper_32bc308a63c5_1690435
1690435,rev_paper_4ce7ec4509bb_1690435
1690435,rev_paper_e70429381515_1690435
1702139,rev_paper_3aa135d0f1f5_1702139
1702139,rev_paper_4c4cad8785d8_1702139
1702139,rev_paper_9a7bbe744089_1702139
1702139,rev_paper_a5f154f53c31_1702139
1702139,rev_paper_b345ce684468_1702139
1702139,rev_paper_fc7e95ae7797_1702139
1708906,rev_paper_44cbae90545f_1708906
1708906,rev_paper_4c81d040624e_1708906
1708906,rev_paper_73c30762d498_1708906
1708906,rev_paper_a4d0fe0633e1_1708906
1708906,rev_paper_c938d11a8fe6_1708906
1708906,rev_paper_ea24290ac80c_1708906
1708906,rev_paper_fd2caa8e69d3_1708906
1716043,rev_paper_06107d4c5bde_1716043
1716043,rev_paper_18f162bcdefb_1716043
1716043,rev_paper_31c38dda7759_1716043
1716043,rev_paper_3e178528f4db_1716043
1716043,rev_paper_632a40cb05ec_1716043
1716043,rev_paper_edb2a7a850c8_1716043
1742222896,rev_730d8b1e289067af593cfbc36c52ec0275507514_1742222896
1742222896,rev_paper_078fe939a99f_1742222896
1742222896,rev_paper_0aba9ad0eed1_1742222896
1742222896,rev_paper_0e66b05c7132_1742222896
1742222896,rev_paper_31c38dda7759_1742222896
1742222896,rev_paper_50dadcaeaa29_1742222896
1742222896,rev_paper_634cdc1f65a8_1742222896
1742222896,rev_paper_fb7b7a9397e3_1742222896
1817470,rev_paper_38d51561b12c_1817470
1817470,rev_paper_3e178528f4db_1817470
1817470,rev_paper_bf6988e7fcbe_1817470
1817470,rev_paper_c0770de12eaf_1817470
1817470,rev_paper_c54092b26545_1817470
2006748,rev_paper_16e4f8a988a6_2006748
2006748,rev_paper_1c9e955175d9_2006748
2006748,rev_paper_86b9ecec7dc9_2006748
2006748,rev_paper_a022d61bf2f4_2006748
2006748,rev_paper_b15bdb567d8c_2006748
2006748,rev_paper_d4b5ce38d556_2006748
2047514100,rev_paper_3719cc3a81c5_2047514100
2047514100,rev_paper_4129e0aa65c2_2047514100
2047514100,rev_paper_6441b2e65c40_2047514100
2047514100,rev_paper_bf6988e7fcbe_2047514100
2066369448,rev_paper_08f64863d350_2066369448
2066369448,rev_paper_64cf0a327a18_2066369448
2066369448,rev_paper_e188d1dff9ae_2066369448
2070105034,rev_paper_1ce0358b345f_2070105034
2070105034,rev_paper_38cf1a0c231a_2070105034
2070105034,rev_paper_660eb6c77ded_2070105034
2070105034,rev_paper_ab6c76d6ef50_2070105034
2070105034,rev_paper_c9b26acecab5_2070105034
2070105034,rev_paper_e141017c81a9_2070105034
2082035401,rev_paper_5e78b0107ab4_2082035401
2082035401,rev_paper_66167d8466de_2082035401
2082035401,rev_paper_b4ed28d5077e_2082035401
2082035401,rev_paper_f41c9ffa2853_2082035401
2108194767,rev_paper_02e11839c4f3_2108194767
2108194767,rev_paper_1e8e500d7037_2108194767
2108194767,rev_paper_312c9842bae5_2108194767
2108194767,rev_paper_46a8b8571f77_2108194767
2108194767,rev_paper_a022d61bf2f4_2108194767
2121691833,rev_paper_0c48b87dbd12_2121691833
2121691833,rev_paper_235627dbc304_2121691833
2121691833,rev_paper_6faa24580952_2121691833
2121691833,rev_paper_aeb7c5684041_2121691833
2121691833,rev_paper_b3ae6c1cf736_2121691833
2121692012,rev_paper_124213143aa4_2121692012
2121692012,rev_paper_242f358904d1_2121692012
2121692012,rev_paper_29e8bdd8cbfa_2121692012
2121692012,rev_paper_36ab87e9b337_2121692012
2121692012,rev_paper_5d3329aba9e4_2121692012
2121692012,rev_paper_a1efab6490ac_2121692012
2121692012,rev_paper_dddfe3e6c075_2121692012
2121692039,rev_paper_102423ac7c83_2121692039
2121692039,rev_paper_1e9d6c0e2d27_2121692039
2121692039,rev_paper_40fed308a45f_2121692039
2121692039,rev_paper_4c4d49d0aa39_2121692039
2121692039,rev_paper_6d6634d6e4c0_2121692039
2121692039,rev_paper_c6a034c5eab4_2121692039
2121701124,rev_paper_0f3aa9c5f268_2121701124
2121701124,rev_paper_3f29893f43a5_2121701124
2121701124,rev_paper_641ca8af32a9_2121701124
2121701124,rev_paper_7a64a98a1f7d_2121701124
2121701124,rev_paper_8c63eec653f1_2121701124
2121701124,rev_paper_de6c9c2084f0_2121701124
2121701124,rev_paper_f3a3b8f907c7_2121701124
2176430503,rev_paper_279798e6096f_2176430503
2176430503,rev_paper_4a3a5389410e_2176430503
2176430503,rev_paper_d85b0590f5e3_2176430503
2216703472,rev_paper_1c8e70052c2a_2216703472
2216703472,rev_paper_8a70b247bee5_2216703472
2232281128,rev_paper_2e6758839a48_2232281128
2232281128,rev_paper_79d6ad6e329f_2232281128
2232281128,rev_paper_86b9ecec7dc9_2232281128
2232281128,rev_paper_c95952ef4c5e_2232281128
2232281128,rev_paper_fdd701d87f01_2232281128
2237946970,rev_paper_02e11839c4f3_2237946970
2237946970,rev_paper_1b54cbd2e8e6_2237946970
2237946970,rev_paper_5f62cdfe9bd7_2237946970
2237946970,rev_paper_6a840c729807_2237946970
2237946970,rev_paper_c3ffdbc4a4fd_2237946970
2237956023,rev_paper_1f51ae372a80_2237956023
2237956023,rev_paper_2ce954aa508c_2237956023
2237956023,rev_paper_8b95d0d9d93b_2237956023
2237956023,rev_paper_9ee1ce4da925_2237956023
2237956023,rev_paper_b2c1c1a4622c_2237956023
2255363469,rev_paper_4a12daac1e98_2255363469
2255363469,rev_paper_898063e36baf_2255363469
2255363469,rev_paper_8d2853f8ea39_2255363469
2255363469,rev_paper_a7878df9c279_2255363469
2255363469,rev_paper_b4b5ad50ccdd_2255363469
2255363469,rev_paper_b69d439962a2_2255363469
2255363469,rev_paper_de9b8d33d787_2255363469
2261475668,rev_paper_290c9aa0728b_2261475668
2261475668,rev_paper_44b75c7eed59_2261475668
2261475668,rev_paper_5745ccdbcc96_2261475668
2261475668,rev_paper_a073dac678b6_2261475668
2261475668,rev_paper_b69d439962a2_2261475668
2261475668,rev_paper_d6e7935485d6_2261475668
2261475668,rev_paper_fc98b9ffb3ab_2261475668
2261475668,rev_paper_feaea6c4e6ce_2261475668
2265762859,rev_paper_3564b7acedad_2265762859
2265762859,rev_paper_3a10bda4bcfa_2265762859
2265762859,rev_paper_9b68f2b2e0ed_2265762859
