src_paper_id,dst_paper_id
016e01d89cfcdc0bf8739cbde3f8dea2d25f69d5,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc
016fb2f5c6a98bd7d8ac8917566275b18713c51f,703d49a335799262e474ed8fe6044cd641a9e00a
033275ccc2c7c5c38592ae893da0b5923cf90717,1cbbe1a129c0d1f53d8e16ca74238334372507dc
035b2d70203a267ed8fa03432e28e839676ba16a,703d49a335799262e474ed8fe6044cd641a9e00a
0446d4be47186ec885acce5fa228c6aa08e226f1,703d49a335799262e474ed8fe6044cd641a9e00a
05fc1d58bd23cb3e7abc47ea2007a09a5378c5f1,087c755ff8689e4c5d846f952e9b2ed17dfe99f9
060c2264f21f16523ed7c194e78fabc90a982c2f,703d49a335799262e474ed8fe6044cd641a9e00a
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,114f5909886f8b505bc75ff179bdaa3a35ed862f
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,1a85628dd645ea86b7c146613651fdb30bb32c1d
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,37ea01066a563c661587b7c3f50fbf64d1bf311a
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,38e80ecf905f74e734f8177f663310ac74072a99
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,40b551e16a75449b8f59c455c9c995ba4da6ab66
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,4748d22348e72e6e06c2476486afddbc76e5eca7
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,4f662c42b2bd52422b70d8f44175f33cec4f8969
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,61a912322b70be5b29920a8f9dde47254e364a5a
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,69d10ea099a2280639bdc43336fd8e4bd4d5ef92
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,6d9400b40e092c9d79ff9846b3133b8baf43ac42
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,7d88d1b6140af888ec367e7e8c5f7265c87975db
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,830de5d61d5ee31a9b5223c1d9a722bce5e29e52
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,899f86566b04e7a79d15cd2df62fbb2e66ec8b75
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,9ab45aa875b56335303398e84a59a3756cd9d530
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,b538999f458a12df98d197befcc4426525cf8237
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,b8479ba8d26c593f969598495ddf8a6bf9839f85
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,bf6ee0a99c7c52e804485a3dd88506c15d29702c
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,c1799bf28d1ae93e1631be5b59196ee1e568f538
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,db6084fdb3baceddacdc726474722debe1ef7e65
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,eb9c4a07a336e8deefe7b399c550d3af0241238e
09c8e630e7fe872d637f9ca382f0a74251fe5167,703d49a335799262e474ed8fe6044cd641a9e00a
0a112f4105b3117de5617a01c31acd8f31dadfb3,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc
0a574c06366dd66c510e69ddcb0cc6b7e6dc5754,703d49a335799262e474ed8fe6044cd641a9e00a
0dd2b81253fe5e3f03af90f051c38cd2b2c5180a,1cbbe1a129c0d1f53d8e16ca74238334372507dc
115b93272e0311e5e7f2ca2108b0cdf7ea4fa6cd,087c755ff8689e4c5d846f952e9b2ed17dfe99f9
1166d9647cff004cadd677bcb5a580e86c593826,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc
13e8abc908f8f6b6bd95528b401491b1367b9fda,703d49a335799262e474ed8fe6044cd641a9e00a
160209b98c0fb3c7d3c3d80e6f8e37b89d3e7110,703d49a335799262e474ed8fe6044cd641a9e00a
18be2417562b05187db186de687a1c2fc120d18a,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc
1cbbe1a129c0d1f53d8e16ca74238334372507dc,07aa07cb6791f336cb32643d54201eab295b2757
1cbbe1a129c0d1f53d8e16ca74238334372507dc,0a69c8815536a657668e089e3281ff2e963d947a
1cbbe1a129c0d1f53d8e16ca74238334372507dc,0ca7d8c3250d43d14fdde46bf6fc299654d861ef
1cbbe1a129c0d1f53d8e16ca74238334372507dc,14014c024674991149f3ecf9314c93f7e029ef1a
1cbbe1a129c0d1f53d8e16ca74238334372507dc,16965c78c57f6ae3a1f9cf0bc66c4f13977a5f25
1cbbe1a129c0d1f53d8e16ca74238334372507dc,1a03e26592d46d1533e97ba3030ae900ec4d1669
1cbbe1a129c0d1f53d8e16ca74238334372507dc,248031105cc00737877ded134852d0edeb43b73c
1cbbe1a129c0d1f53d8e16ca74238334372507dc,286d371febea99ec19044e69e163e8bd53137a7f
1cbbe1a129c0d1f53d8e16ca74238334372507dc,3308eeac303fd042f8d7659d9c43faa35173c39b
1cbbe1a129c0d1f53d8e16ca74238334372507dc,3443efc855cebd17d1512d1a703b6e9ee2e4da8b
1cbbe1a129c0d1f53d8e16ca74238334372507dc,3947688522579f2c657dd8323f30466fa10f979d
1cbbe1a129c0d1f53d8e16ca74238334372507dc,441068ef17c3332d4f0af6c146e37bd8748bb90e
1cbbe1a129c0d1f53d8e16ca74238334372507dc,454304628bf10f02aba1c2cfc95891e94d09208e
1cbbe1a129c0d1f53d8e16ca74238334372507dc,45f4585f12ed7310c2dbc487a2aa1ba23c568071
1cbbe1a129c0d1f53d8e16ca74238334372507dc,4aaff01365a68968e7f17a820fe579177a90899b
1cbbe1a129c0d1f53d8e16ca74238334372507dc,5984a0b6957b0e9ed8b030c3784f3ec367fbfd8c
1cbbe1a129c0d1f53d8e16ca74238334372507dc,60d8db6839e860e6e787e47df55f672b8f1fa873
1cbbe1a129c0d1f53d8e16ca74238334372507dc,68f34ed64fdf07bb1325097c93576658e061231e
1cbbe1a129c0d1f53d8e16ca74238334372507dc,6957a14503962507e54ba81f6de389c1d4f3efc6
1cbbe1a129c0d1f53d8e16ca74238334372507dc,6dcf5882576153d3d80945d7013acd1b9ef140c7
1cbbe1a129c0d1f53d8e16ca74238334372507dc,6fb8b967dad742eb390a3090f094a12f2d909538
1cbbe1a129c0d1f53d8e16ca74238334372507dc,758294483c308d9d6028321f0741b6e4617c9ab9
