author_id,paper_id,role,is_corresponding,author_order
101904272,85b681e08c9db87dc19a5d5d8664e0027a8e8ad9,co-author,false,4
13150804,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,false,1
1401234110,a20e707395132f750fa958ebc0ea629b23b57bfe,co-author,false,2
1403702365,a20e707395132f750fa958ebc0ea629b23b57bfe,main,true,0
144007515,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,co-author,false,1
144165788,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,false,6
144171096,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,co-author,false,5
144416706,a20e707395132f750fa958ebc0ea629b23b57bfe,co-author,false,1
144658846,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,main,true,0
144768011,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,co-author,false,1
145479025,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,co-author,false,4
15022199,1cbbe1a129c0d1f53d8e16ca74238334372507dc,co-author,false,6
151121638,06424dcd3be195738b653d2ee4358d9974f4cb30,main,true,0
1684751,06424dcd3be195738b653d2ee4358d9974f4cb30,co-author,false,3
1702139,033275ccc2c7c5c38592ae893da0b5923cf90717,co-author,false,4
1703204,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,co-author,false,2
1708906,033275ccc2c7c5c38592ae893da0b5923cf90717,co-author,false,2
1713648,1cbbe1a129c0d1f53d8e16ca74238334372507dc,co-author,false,7
1714025,703d49a335799262e474ed8fe6044cd641a9e00a,co-author,false,1
1716043,459cf4e6476d5e19f1bc422c162bcded54ca7f95,co-author,false,2
1736546,d852660e15e82ae150dcde105639ba2c7d90f01f,co-author,false,1
1742222896,27d0ae215acfaa5914fc13cea20626c9470848c2,co-author,false,4
1770437474,85b681e08c9db87dc19a5d5d8664e0027a8e8ad9,main,true,0
1809608,d852660e15e82ae150dcde105639ba2c7d90f01f,main,true,0
1817470,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,false,4
18356904,1cbbe1a129c0d1f53d8e16ca74238334372507dc,co-author,false,5
1968180,1a85628dd645ea86b7c146613651fdb30bb32c1d,main,true,0
2000131,85b681e08c9db87dc19a5d5d8664e0027a8e8ad9,co-author,false,3
2006748,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,false,3
2044319,4340043a5a43f1863e080e3fc717f863ad21b51d,main,true,0
2047514100,27d0ae215acfaa5914fc13cea20626c9470848c2,main,true,0
2059572334,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,co-author,false,3
2066369448,033275ccc2c7c5c38592ae893da0b5923cf90717,co-author,false,1
2070105034,86e9b0585c8b866665de18b2744d69aefff3e16d,co-author,false,4
2073559355,59078a26c42e8609244f1c3e01f05af74a3773bf,co-author,false,3
2082035401,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,false,1
2108194767,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,false,5
2110490847,06424dcd3be195738b653d2ee4358d9974f4cb30,co-author,false,1
2121691833,86e9b0585c8b866665de18b2744d69aefff3e16d,main,true,0
2121692012,86e9b0585c8b866665de18b2744d69aefff3e16d,co-author,false,1
2121692039,86e9b0585c8b866665de18b2744d69aefff3e16d,co-author,false,2
2121701124,86e9b0585c8b866665de18b2744d69aefff3e16d,co-author,false,3
2124626283,1cbbe1a129c0d1f53d8e16ca74238334372507dc,co-author,false,2
2134146,1cbbe1a129c0d1f53d8e16ca74238334372507dc,co-author,false,4
2176430503,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,false,5
2180167644,1cbbe1a129c0d1f53d8e16ca74238334372507dc,co-author,false,1
2216703472,459cf4e6476d5e19f1bc422c162bcded54ca7f95,main,true,0
2237946970,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,false,4
2237956023,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,false,7
2238861,06424dcd3be195738b653d2ee4358d9974f4cb30,co-author,false,2
2255363469,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,main,true,0
2261475668,514e4e91e0fbddaa85857760d4f206a18228d614,main,true,0
2265762859,27d0ae215acfaa5914fc13cea20626c9470848c2,co-author,false,5
2280382714,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,false,8
2284823368,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,main,true,0
2285646862,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,false,7
2315123131,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,false,1
