paper_id,edition_id
033275ccc2c7c5c38592ae893da0b5923cf90717,arxiv_org_2023
06424dcd3be195738b653d2ee4358d9974f4cb30,international_conference_on_advances_in_social_networks_analysis_and_mining_2021
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,sigmod_conference_companion_2025
3ca49899da83e160280c709288973e9caed30fa2,coling_workshops_2024
4340043a5a43f1863e080e3fc717f863ad21b51d,unknown_venue_2023
459cf4e6476d5e19f1bc422c162bcded54ca7f95,applied_sciences_2023
514e4e91e0fbddaa85857760d4f206a18228d614,north_american_chapter_of_the_association_for_computational_linguistics_2024
59078a26c42e8609244f1c3e01f05af74a3773bf,international_conference_on_database_theory_2022
5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,grades_nda_sigmod_2022
6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,arxiv_org_2024
93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,sigmod_conference_2021
d852660e15e82ae150dcde105639ba2c7d90f01f,undergraduate_topics_in_computer_science_2019
