paper_id,volume_id,pages
1a85628dd645ea86b7c146613651fdb30bb32c1d,sigmod_record_vol_1_2022,
1cbbe1a129c0d1f53d8e16ca74238334372507dc,log_in_vol_1_2022,
27d0ae215acfaa5914fc13cea20626c9470848c2,future_internet_vol_1_2024,
2d95c27d4ed8cfb8379164888cd79c6b239250b4,ieee_access_vol_1_2020,
326cecd1e73da6790cc30fafc298489882e20c7f,ieee_data_engineering_bulletin_vol_1_2025,
3c78b9d672e5bb2e065bcac54b52aa08b94b7321,database_j_biol_databases_curation_vol_1_2023,
703d49a335799262e474ed8fe6044cd641a9e00a,journal_on_data_semantics_vol_1_2020,
85b681e08c9db87dc19a5d5d8664e0027a8e8ad9,applied_soft_computing_vol_1_2021,
86e9b0585c8b866665de18b2744d69aefff3e16d,the_vldb_journal_vol_1_2021,
a20e707395132f750fa958ebc0ea629b23b57bfe,database_j_biol_databases_curation_vol_1_2021,
c858ba9bce833896b49878a6793dbb382ed83c9e,advances_in_computer_and_electrical_engineering_vol_1_2019,
