volume_id,journal_id
advances_in_computer_and_electrical_engineering_vol_1_2019,advances_in_computer_and_electrical_engineering
applied_soft_computing_vol_1_2021,applied_soft_computing
database_j_biol_databases_curation_vol_1_2021,database_j_biol_databases_curation
database_j_biol_databases_curation_vol_1_2023,database_j_biol_databases_curation
future_internet_vol_1_2024,future_internet
ieee_access_vol_1_2020,ieee_access
ieee_data_engineering_bulletin_vol_1_2025,ieee_data_engineering_bulletin
journal_on_data_semantics_vol_1_2020,journal_on_data_semantics
log_in_vol_1_2022,log_in
sigmod_record_vol_1_2022,sigmod_record
the_vldb_journal_vol_1_2021,the_vldb_journal
