author_id,paper_id,role,is_corresponding,author_order
13150804,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,False,2
144165788,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,False,7
1690435,27d0ae215acfaa5914fc13cea20626c9470848c2,co-author,False,3
1702139,033275ccc2c7c5c38592ae893da0b5923cf90717,co-author,False,5
1708906,033275ccc2c7c5c38592ae893da0b5923cf90717,co-author,False,3
1716043,459cf4e6476d5e19f1bc422c162bcded54ca7f95,co-author,False,3
1742222896,27d0ae215acfaa5914fc13cea20626c9470848c2,co-author,False,5
1817470,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,False,5
2006748,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,False,4
2047514100,27d0ae215acfaa5914fc13cea20626c9470848c2,main,True,1
2066369448,033275ccc2c7c5c38592ae893da0b5923cf90717,co-author,False,2
2070105034,86e9b0585c8b866665de18b2744d69aefff3e16d,co-author,False,5
2082035401,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,False,2
2108194767,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,False,6
2121691833,86e9b0585c8b866665de18b2744d69aefff3e16d,main,True,1
2121692012,86e9b0585c8b866665de18b2744d69aefff3e16d,co-author,False,2
2121692039,86e9b0585c8b866665de18b2744d69aefff3e16d,co-author,False,3
2121701124,86e9b0585c8b866665de18b2744d69aefff3e16d,co-author,False,4
2176430503,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,False,6
2216703472,459cf4e6476d5e19f1bc422c162bcded54ca7f95,main,True,1
2232281128,730d8b1e289067af593cfbc36c52ec0275507514,co-author,False,3
2237946970,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,False,5
2237956023,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,False,8
2255363469,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,main,True,1
2261475668,514e4e91e0fbddaa85857760d4f206a18228d614,main,True,1
2265762859,27d0ae215acfaa5914fc13cea20626c9470848c2,co-author,False,6
2280382714,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,False,9
2284823368,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,main,True,1
2285503172,730d8b1e289067af593cfbc36c52ec0275507514,co-author,False,4
2285646862,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,False,8
2315123131,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,False,2
2315141827,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,False,3
2315223469,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,False,4
2316479178,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,False,6
2331178177,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,co-author,False,2
2331178283,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,co-author,False,3
2331968811,27d0ae215acfaa5914fc13cea20626c9470848c2,co-author,False,4
2331973976,27d0ae215acfaa5914fc13cea20626c9470848c2,co-author,False,2
2335443776,3ca49899da83e160280c709288973e9caed30fa2,co-author,False,4
2335444768,3ca49899da83e160280c709288973e9caed30fa2,co-author,False,3
2335448038,3ca49899da83e160280c709288973e9caed30fa2,co-author,False,2
2341319603,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,False,5
2341325896,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,False,4
2346110195,514e4e91e0fbddaa85857760d4f206a18228d614,co-author,False,7
2364683509,730d8b1e289067af593cfbc36c52ec0275507514,co-author,False,2
2790411,459cf4e6476d5e19f1bc422c162bcded54ca7f95,co-author,False,2
32519729,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,co-author,False,3
40046694,033275ccc2c7c5c38592ae893da0b5923cf90717,main,True,1
40389006,730d8b1e289067af593cfbc36c52ec0275507514,main,True,1
40918064,3ca49899da83e160280c709288973e9caed30fa2,main,True,1
47103611,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,False,7
47817869,087c755ff8689e4c5d846f952e9b2ed17dfe99f9,co-author,False,3
48195883,3c78b9d672e5bb2e065bcac54b52aa08b94b7321,main,True,1
9031926,033275ccc2c7c5c38592ae893da0b5923cf90717,co-author,False,4
