src_paper_id,dst_paper_id,context,rank_score
0019cbc6f2d697e157605383459b82e8fdab484f,459cf4e6476d5e19f1bc422c162bcded54ca7f95,background,1.0
0086d4e5b8a16cb1f1fb7c050495d22f8ce70764,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,background,1.0
00940ec18283156770edb798589bf89c07d7544c,689c7a86d973895a14feb984b8faa3d5581038ef,background,1.0
00ac908cf295c02616f4a4cd4701de2e20268bf6,1f4bee77bb69b92dd16ce0c3ad0f477f4ecf1d30,background,1.0
00c8477a9cc28b85e4f6da13d2a889c94a955291,4f873d5a3ab80402e206a361eeffd3b69f014db0,background,1.0
0113964c1dc23c494b5ff6d9cba0ccff927d4a03,659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85,background,1.0
0134db5adf50c471906cbffa0d2f6a4fcbc0ae01,16a65dcd609d48f79a9a271377628fdae5315a62,background,1.0
016e01d89cfcdc0bf8739cbde3f8dea2d25f69d5,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,background,1.0
016fb2f5c6a98bd7d8ac8917566275b18713c51f,703d49a335799262e474ed8fe6044cd641a9e00a,background,1.0
018c63ec3f9bbbadb14d5fd6705c5ad051765060,bcca5c7e9180c4890936343d79e812cb16cbefb6,background,1.0
019e2796eaf5ddec055ce20838c67b1e65caecc5,02808823641975868e3212fd7ae859514fdbdf32,background,1.0
01b62e170573ea8405e0db93d716381db2530018,44ec06d911eed44ee99be61bd9ce964a824a2ed7,background,1.0
01b62e170573ea8405e0db93d716381db2530018,d427db1ba2cc92b36d16a5e5114f1027c90fff68,background,1.0
01f575f9543e65bbb0001ac396ad161d68650c74,f295128bb1846e441a5195d5bbf4902f49186e30,background,1.0
0254c56375817725be028f9832120c5ec0aa3f59,e8505f6175585713aa7b785285b3abc4113b57ef,background,1.0
02808823641975868e3212fd7ae859514fdbdf32,262fe2a2b5d1c0fa7feb63f3bf0c1fd81f1b7c80,background,1.0
02808823641975868e3212fd7ae859514fdbdf32,45063cf2e0116e700da5ca2863c8bb82ad4d64c2,background,1.0
02808823641975868e3212fd7ae859514fdbdf32,5b0ade1a2ae06e9d8b51f2d5c424a0cdad847e8a,background,1.0
02808823641975868e3212fd7ae859514fdbdf32,75b868e844e58db707fb5dbf7acbe2e26ba8c122,background,1.0
02808823641975868e3212fd7ae859514fdbdf32,8b1e220b406265626bd5d00bc99841576e3aed1b,background,1.0
02808823641975868e3212fd7ae859514fdbdf32,b4f6b1dad0e83205e68afea8db0f0aec7410d12a,background,1.0
02808823641975868e3212fd7ae859514fdbdf32,ea32d48a0528d5af7d78f2d0da2d28c7edb6d16c,background,1.0
02c41413399a91c50749ccf06c250baf85939ca2,689c7a86d973895a14feb984b8faa3d5581038ef,background,1.0
02da4fe77a2498af37624cdd9b70f1f5e7fc2ff5,27d0ae215acfaa5914fc13cea20626c9470848c2,background,1.0
02e343eac6a848d528dc84aa53e3cdaaf7df0ae6,27d0ae215acfaa5914fc13cea20626c9470848c2,background,1.0
030b68e7410668cd712e4907dc5e6fdb4e5982ef,6ea38aacc779506909d425aa19114b92bb1854f8,background,1.0
033275ccc2c7c5c38592ae893da0b5923cf90717,014573511023325bc1b5c9c42ac962b7f28e673e,background,1.0
033275ccc2c7c5c38592ae893da0b5923cf90717,01bd16e4deb7542d2c24f92a3c8cb8530d65fa09,background,1.0
033275ccc2c7c5c38592ae893da0b5923cf90717,04e00a4f0d5b7aea0cd51cddefbf6c8b48318dcf,background,1.0
033275ccc2c7c5c38592ae893da0b5923cf90717,055cd2faeebc7a9df43923d554a61ae924a4af6b,background,1.0
033275ccc2c7c5c38592ae893da0b5923cf90717,0ab2ecf1748b62c9c00861e21248fb6d483a542a,background,1.0
033275ccc2c7c5c38592ae893da0b5923cf90717,0e31660210a4f683fe22acd5bc53f737d765f1f3,background,1.0
033275ccc2c7c5c38592ae893da0b5923cf90717,12f7273cdcb8fde49b4c84d16ba41d6c7da55ba5,background,1.0
033275ccc2c7c5c38592ae893da0b5923cf90717,14d52d4ec14eba80c267e39f2b28442c726046c0,background,1.0
