edition_id,city_id
applied_sciences_2023,unknown_city
arxiv_org_2023,unknown_city
arxiv_org_2024,unknown_city
coling_workshops_2024,unknown_city
grades_nda_sigmod_2022,unknown_city
international_conference_on_advances_in_social_networks_analysis_and_mining_2021,unknown_city
international_conference_on_database_theory_2022,unknown_city
north_american_chapter_of_the_association_for_computational_linguistics_2024,unknown_city
sigmod_conference_2021,unknown_city
sigmod_conference_companion_2025,unknown_city
undergraduate_topics_in_computer_science_2019,unknown_city
unknown_venue_2023,unknown_city
