review_id,paper_id
rev_033275ccc2c7c5c38592ae893da0b5923cf90717_1716043,033275ccc2c7c5c38592ae893da0b5923cf90717
rev_033275ccc2c7c5c38592ae893da0b5923cf90717_2047514100,033275ccc2c7c5c38592ae893da0b5923cf90717
rev_033275ccc2c7c5c38592ae893da0b5923cf90717_2082035401,033275ccc2c7c5c38592ae893da0b5923cf90717
rev_087c755ff8689e4c5d846f952e9b2ed17dfe99f9_2216703472,087c755ff8689e4c5d846f952e9b2ed17dfe99f9
rev_087c755ff8689e4c5d846f952e9b2ed17dfe99f9_2315141827,087c755ff8689e4c5d846f952e9b2ed17dfe99f9
rev_087c755ff8689e4c5d846f952e9b2ed17dfe99f9_2335443776,087c755ff8689e4c5d846f952e9b2ed17dfe99f9
rev_27d0ae215acfaa5914fc13cea20626c9470848c2_144165788,27d0ae215acfaa5914fc13cea20626c9470848c2
rev_27d0ae215acfaa5914fc13cea20626c9470848c2_2176430503,27d0ae215acfaa5914fc13cea20626c9470848c2
rev_27d0ae215acfaa5914fc13cea20626c9470848c2_48195883,27d0ae215acfaa5914fc13cea20626c9470848c2
rev_3c78b9d672e5bb2e065bcac54b52aa08b94b7321_2121692039,3c78b9d672e5bb2e065bcac54b52aa08b94b7321
rev_3c78b9d672e5bb2e065bcac54b52aa08b94b7321_2121701124,3c78b9d672e5bb2e065bcac54b52aa08b94b7321
rev_3c78b9d672e5bb2e065bcac54b52aa08b94b7321_2335448038,3c78b9d672e5bb2e065bcac54b52aa08b94b7321
rev_3ca49899da83e160280c709288973e9caed30fa2_1742222896,3ca49899da83e160280c709288973e9caed30fa2
rev_3ca49899da83e160280c709288973e9caed30fa2_2006748,3ca49899da83e160280c709288973e9caed30fa2
rev_3ca49899da83e160280c709288973e9caed30fa2_2285503172,3ca49899da83e160280c709288973e9caed30fa2
rev_459cf4e6476d5e19f1bc422c162bcded54ca7f95_2335444768,459cf4e6476d5e19f1bc422c162bcded54ca7f95
rev_459cf4e6476d5e19f1bc422c162bcded54ca7f95_2335448038,459cf4e6476d5e19f1bc422c162bcded54ca7f95
rev_459cf4e6476d5e19f1bc422c162bcded54ca7f95_2341319603,459cf4e6476d5e19f1bc422c162bcded54ca7f95
rev_514e4e91e0fbddaa85857760d4f206a18228d614_1742222896,514e4e91e0fbddaa85857760d4f206a18228d614
rev_514e4e91e0fbddaa85857760d4f206a18228d614_1817470,514e4e91e0fbddaa85857760d4f206a18228d614
rev_514e4e91e0fbddaa85857760d4f206a18228d614_2331973976,514e4e91e0fbddaa85857760d4f206a18228d614
rev_6e08bd9b6ecb3e3978de66c5f8bd8636367413bc_13150804,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc
rev_6e08bd9b6ecb3e3978de66c5f8bd8636367413bc_2331968811,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc
rev_6e08bd9b6ecb3e3978de66c5f8bd8636367413bc_2335444768,6e08bd9b6ecb3e3978de66c5f8bd8636367413bc
rev_730d8b1e289067af593cfbc36c52ec0275507514_2006748,730d8b1e289067af593cfbc36c52ec0275507514
rev_730d8b1e289067af593cfbc36c52ec0275507514_2341319603,730d8b1e289067af593cfbc36c52ec0275507514
rev_730d8b1e289067af593cfbc36c52ec0275507514_2790411,730d8b1e289067af593cfbc36c52ec0275507514
rev_86e9b0585c8b866665de18b2744d69aefff3e16d_2285503172,86e9b0585c8b866665de18b2744d69aefff3e16d
rev_86e9b0585c8b866665de18b2744d69aefff3e16d_2315123131,86e9b0585c8b866665de18b2744d69aefff3e16d
rev_86e9b0585c8b866665de18b2744d69aefff3e16d_2341325896,86e9b0585c8b866665de18b2744d69aefff3e16d
